#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
CCL8	CCR7	1858210	1843829	ENSP00000378118	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.243	0.842
CCL7	CCR7	1856894	1843829	ENSP00000367832	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.360	0.866
TNF	MMP1	1860103	1850481	ENSP00000398698	ENSP00000322788	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.710
FOS	CCL5	1848822	1847396	ENSP00000306245	ENSP00000293272	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.151	0.822
TNFRSF11B	TNFRSF10B	1847859	1846494	ENSP00000297350	ENSP00000276431	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.581
CCL8	IL8	1858210	1848852	ENSP00000378118	ENSP00000306512	0.000	0.000	0.000	0.000	0.112	0.000	0.000	0.503	0.539
CCL4	CXCL6	1843996	1843085	ENSP00000250151	ENSP00000226317	0.000	0.000	0.000	0.000	0.126	0.000	0.000	0.417	0.468
CXCL2	CXCL12	1861702	1858332	ENSP00000427279	ENSP00000379140	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.360	0.933
IL23A	CCL2	1843150	1843055	ENSP00000228534	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.160	0.912
CXCL2	CCL4	1861702	1843996	ENSP00000427279	ENSP00000250151	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.548	0.582
IL15RA	CSF3	1857123	1843025	ENSP00000369312	ENSP00000225474	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.054	0.802
CCL3L3	CCL4	1856854	1843996	ENSP00000367605	ENSP00000250151	0.000	0.000	0.000	0.967	0.493	0.000	0.000	0.781	0.505
FOS	MMP3	1848822	1848108	ENSP00000306245	ENSP00000299855	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.599	0.599
CXCL6	CCL2	1843085	1843055	ENSP00000226317	ENSP00000225831	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.472	0.502
TNF	IL8	1860103	1848852	ENSP00000398698	ENSP00000306512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.953	0.953
CD40	CCR7	1855654	1843829	ENSP00000361359	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.953	0.953
IL8	CCL3	1848852	1843010	ENSP00000306512	ENSP00000225245	0.000	0.000	0.000	0.000	0.110	0.000	0.000	0.745	0.764
CXCL1	CCL2	1858329	1843055	ENSP00000379110	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.757	0.757
IL6	GHR	1844631	1843268	ENSP00000258743	ENSP00000230882	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.506	0.896
IL8	CSF3	1848852	1843025	ENSP00000306512	ENSP00000225474	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.582	0.582
TNF	IL6	1860103	1844631	ENSP00000398698	ENSP00000258743	0.000	0.000	0.000	0.000	0.092	0.000	0.000	0.871	0.877
CXCL12	CCL3	1858332	1843010	ENSP00000379140	ENSP00000225245	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.653	0.653
PRLR	IL6	1857467	1844631	ENSP00000371432	ENSP00000258743	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.472	0.889
MMP3	CCL2	1848108	1843055	ENSP00000299855	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.471	0.766
CCL7	MMP3	1856894	1848108	ENSP00000367832	ENSP00000299855	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.302	0.684
IL24	IL23A	1857961	1843150	ENSP00000375795	ENSP00000228534	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.057	0.901
CXCL2	TNF	1861702	1860103	ENSP00000427279	ENSP00000398698	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.412	0.430
CCL8	CXCL9	1858210	1854250	ENSP00000378118	ENSP00000354901	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.623	0.623
IL19	GHR	1852647	1843268	ENSP00000343000	ENSP00000230882	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
FOS	KIT	1848822	1847112	ENSP00000306245	ENSP00000288135	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.539	0.559
CXCL12	CCL8	1858332	1858210	ENSP00000379140	ENSP00000378118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.459	0.459
TNF	CCL3	1860103	1843010	ENSP00000398698	ENSP00000225245	0.000	0.000	0.000	0.000	0.110	0.000	0.000	0.590	0.619
IL6	IL23A	1844631	1843150	ENSP00000258743	ENSP00000228534	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.202	0.916
CXCL12	IL8	1858332	1848852	ENSP00000379140	ENSP00000306512	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.942	0.994
CXCL2	CCL5	1861702	1847396	ENSP00000427279	ENSP00000293272	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.580	0.956
CXCL2	CCL7	1861702	1856894	ENSP00000427279	ENSP00000367832	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.397	0.415
CXCL9	IL8	1854250	1848852	ENSP00000354901	ENSP00000306512	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.635	0.961
IL8	CXCL6	1848852	1843085	ENSP00000306512	ENSP00000226317	0.000	0.000	0.000	0.842	0.250	0.000	0.900	0.660	0.929
CCL8	MMP3	1858210	1848108	ENSP00000378118	ENSP00000299855	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.117	0.603
TNF	CD40	1860103	1855654	ENSP00000398698	ENSP00000361359	0.000	0.000	0.000	0.000	0.092	0.000	0.000	0.955	0.958
IL24	PRLR	1857961	1857467	ENSP00000375795	ENSP00000371432	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
IL6	CCL4	1844631	1843996	ENSP00000258743	ENSP00000250151	0.000	0.000	0.000	0.000	0.119	0.000	0.000	0.587	0.620
FOS	CCL4	1848822	1843996	ENSP00000306245	ENSP00000250151	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.306	0.855
CXCL9	IL6	1854250	1844631	ENSP00000354901	ENSP00000258743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.415	0.414
CXCL1	CXCL6	1858329	1843085	ENSP00000379110	ENSP00000226317	0.000	0.000	0.000	0.886	0.108	0.000	0.900	0.749	0.914
CCL2	CCL3	1843055	1843010	ENSP00000225831	ENSP00000225245	0.000	0.000	0.000	0.866	0.091	0.000	0.900	0.900	0.916
CXCL1	IL8	1858329	1848852	ENSP00000379110	ENSP00000306512	0.000	0.000	0.000	0.881	0.000	0.000	0.900	0.961	0.911
CCL4	TNFSF8	1843996	1842989	ENSP00000250151	ENSP00000223795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.486	0.485
CCL5	CCR7	1847396	1843829	ENSP00000293272	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.512	0.949
IL24	GHR	1857961	1843268	ENSP00000375795	ENSP00000230882	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.061	0.804
GHR	CSF3	1843268	1843025	ENSP00000230882	ENSP00000225474	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.214	0.836
CXCL1	CCL7	1858329	1856894	ENSP00000379110	ENSP00000367832	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.581	0.593
TNF	CCL5	1860103	1847396	ENSP00000398698	ENSP00000293272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.538
CXCL12	KIT	1858332	1847112	ENSP00000379140	ENSP00000288135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.942	0.942
CXCL9	CXCL6	1854250	1843085	ENSP00000354901	ENSP00000226317	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.759	0.974
CXCL2	CCR7	1861702	1843829	ENSP00000427279	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.187	0.915
CCL7	MMP1	1856894	1850481	ENSP00000367832	ENSP00000322788	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.306	0.685
